100,1.014,0.498,0.0
500,5.071,0.519,0.002
1000,12.019,0.533,0.004
3000,42.776,0.569,0.115
5000,69.052,0.596,0.113
7000,100.588,0.62,0.037
10000,139.13,0.655,2.656
15000,184.629,0.703,1.986
