5000,0.419,0.601,0.054,0.064,1,3
5000,0.413,0.601,0.079,0.065,1,5
5000,0.401,0.605,0.065,0.066,3,5
5000,0.315,0.608,0.002,0.066,1,1
5000,0.349,0.608,0.027,0.067,3,3
5000,0.315,0.617,0.005,0.066,1,0.5
5000,0.307,0.637,0.003,0.075,3,1
5000,0.328,0.638,0.022,0.083,15,5
5000,0.32,0.645,0.004,0.068,1,0.1
5000,0.244,0.674,0.005,0.083,3,0.5
5000,0.266,0.689,0.015,0.106,15,3
5000,0.228,0.701,0.0,0.072,1,0.01
5000,0.312,0.712,0.007,0.114,30,5
5000,0.293,0.725,0.002,0.104,30,0.1
5000,0.289,0.725,0.002,0.101,30,0.5
5000,0.295,0.728,0.001,0.103,30,0.003
5000,0.296,0.73,0.001,0.104,30,0.01
5000,0.289,0.733,0.004,0.101,30,1
5000,0.219,0.742,0.004,0.08,1,0.003
5000,0.297,0.756,0.004,0.114,30,3
5000,0.222,0.772,0.002,0.116,15,1
5000,0.223,0.775,0.004,0.118,15,0.5
5000,0.227,0.793,0.002,0.122,15,0.1
5000,0.226,0.798,0.003,0.121,15,0.003
5000,0.227,0.801,0.003,0.123,15,0.01
5000,0.189,0.86,0.001,0.139,3,0.1
5000,0.184,0.925,0.001,0.151,3,0.01
5000,0.184,0.948,0.001,0.157,3,0.003
