100,0.391,0.52,0.01,0.033,3,83,1,0.1
500,0.386,0.542,0.013,0.039,3,83,1,0.1
1000,0.383,0.557,0.01,0.041,3,83,1,0.1
3000,0.387,0.595,0.007,0.054,3,83,1,0.1
5000,0.443,0.623,0.004,0.066,3,83,1,0.1
7000,0.465,0.648,0.009,0.079,3,83,1,0.1
10000,0.531,0.685,0.006,0.101,3,83,1,0.1
15000,0.655,0.738,0.007,0.136,3,83,1,0.1
