100,0.304,0.498,0.02
500,0.308,0.519,0.013
1000,0.301,0.533,0.017
3000,0.337,0.569,0.003
5000,0.496,0.596,0.005
7000,0.753,0.62,0.001
10000,1.107,0.655,0.003
15000,1.806,0.703,0.003
